urban_centric_locale,urban_centric_degree
-3,Suppressed data
-2,Not applicable
-1,Missing/not reported
1,Large city
2,Midsize city
3,Urban fringe of large city
4,Urban fringe of midsize city
5,Large town
6,Small town
7,Rural/ outside CBSA
8,Rural/ inside CBSA
9,Not assigned
11,City/ large
12,City/ midsize
13,City/ small
21,Suburb/ large
22,Suburb/ midsize
23,Suburb/ small
31,Town/ fringe
32,Town/ distant
33,Town/ remote
41,Rural/ fringe
42,Rural/ distant
43,Rural/ remote
